email_id,subject,sender,message,label
1,Limited Time Offer!!!,alert770@secure-now16.com,Click here to verify your account immediately.,spam
2,Congratulations! You Won $$$,alert920@secure-now3.com,Confirm your details to avoid account suspension.,spam
3,Verify Your Account Immediately,alert350@secure-now28.com,We detected suspicious activity. Login now.,spam
4,Limited Time Offer!!!,alert987@secure-now3.com,We detected suspicious activity. Login now.,spam
5,Verify Your Account Immediately,alert868@secure-now4.com,Your account is at risk. Update your details now.,spam
6,Your Payment Failed,alert662@secure-now24.com,You are eligible for a reward. Click the link.,spam
7,Act Now to Avoid Suspension,alert288@secure-now45.com,You have won a prize. Claim it now before it expires.,spam
8,Verify Your Account Immediately,alert220@secure-now50.com,This is your final warning. Act immediately.,spam
9,Congratulations! You Won $$$,alert375@secure-now34.com,Click here to verify your account immediately.,spam
10,Your Payment Failed,alert393@secure-now40.com,We detected suspicious activity. Login now.,spam
11,Your Payment Failed,alert723@secure-now16.com,Your account is at risk. Update your details now.,spam
12,Limited Time Offer!!!,alert207@secure-now3.com,Your account is at risk. Update your details now.,spam
13,Limited Time Offer!!!,alert725@secure-now21.com,You have won a prize. Claim it now before it expires.,spam
14,Verify Your Account Immediately,alert372@secure-now28.com,You have won a prize. Claim it now before it expires.,spam
15,Claim Your Reward Now,alert246@secure-now31.com,Confirm your details to avoid account suspension.,spam
16,Congratulations! You Won $$$,alert209@secure-now3.com,Urgent action required to secure your account.,spam
17,Claim Your Reward Now,alert316@secure-now24.com,You have won a prize. Claim it now before it expires.,spam
18,Client Feedback,user52@company.com,Kindly review the document.,not spam
19,URGENT: Account Suspended,alert587@secure-now44.com,This is your final warning. Act immediately.,spam
20,Act Now to Avoid Suspension,alert144@secure-now34.com,We detected suspicious activity. Login now.,spam
21,Congratulations! You Won $$$,alert769@secure-now43.com,You have won a prize. Claim it now before it expires.,spam
22,Act Now to Avoid Suspension,alert124@secure-now8.com,Click here to verify your account immediately.,spam
23,URGENT: Account Suspended,alert839@secure-now23.com,Click here to verify your account immediately.,spam
24,Project Update,user196@company.com,Please find the attached report.,not spam
25,Invoice Attached,user93@company.com,Let me know your availability.,not spam
26,Claim Your Reward Now,alert956@secure-now46.com,Click here to verify your account immediately.,spam
27,URGENT: Account Suspended,alert635@secure-now35.com,Your account is at risk. Update your details now.,spam
